repo_full,month,alert_type,severity,metric,value,threshold,reason
redis/redis,2023-03,Issue积压上升,黄,backlog_end,15.0,10,新增>关闭，积压开始累积
remix-run/remix,2023-03,Issue积压上升,黄,backlog_end,49.0,10,新增>关闭，积压开始累积
rstudio/rstudio,2023-03,Issue积压上升,黄,backlog_end,39.0,10,新增>关闭，积压开始累积
ruffle-rs/ruffle,2023-03,Issue积压严重,红,backlog_end,133.0,50,新增-关闭>50，积压上升
rust-lang/rust,2023-03,Issue积压严重,红,backlog_end,64.0,50,新增-关闭>50，积压上升
scikit-learn/scikit-learn,2023-03,Issue积压上升,黄,backlog_end,15.0,10,新增>关闭，积压开始累积
spack/spack,2023-03,Issue积压上升,黄,backlog_end,25.0,10,新增>关闭，积压开始累积
storybookjs/storybook,2023-03,Issue积压严重,红,backlog_end,104.0,50,新增-关闭>50，积压上升
strapi/strapi,2023-03,Issue积压上升,黄,backlog_end,26.0,10,新增>关闭，积压开始累积
sveltejs/kit,2023-03,Issue积压上升,黄,backlog_end,47.0,10,新增>关闭，积压开始累积
systemd/systemd,2023-03,Issue积压上升,黄,backlog_end,39.0,10,新增>关闭，积压开始累积
tachiyomiorg/tachiyomi-extensions,2023-03,Issue积压上升,黄,backlog_end,11.0,10,新增>关闭，积压开始累积
tailscale/tailscale,2023-03,Issue积压严重,红,backlog_end,52.0,50,新增-关闭>50，积压上升
taosdata/TDengine,2023-03,Issue积压上升,黄,backlog_end,34.0,10,新增>关闭，积压开始累积
trinodb/trino,2023-03,Issue积压上升,黄,backlog_end,41.0,10,新增>关闭，积压开始累积
type-challenges/type-challenges,2023-03,Issue积压严重,红,backlog_end,1278.0,50,新增-关闭>50，积压上升
uBlockOrigin/uAssets,2023-03,Issue积压上升,黄,backlog_end,16.0,10,新增>关闭，积压开始累积
unifyai/ivy,2023-03,Issue积压严重,红,backlog_end,578.0,50,新增-关闭>50，积压上升
vectordotdev/vector,2023-03,Issue积压上升,黄,backlog_end,31.0,10,新增>关闭，积压开始累积
vercel/next.js,2023-03,Issue积压严重,红,backlog_end,125.0,50,新增-关闭>50，积压上升
webcompat/web-bugs,2023-03,Issue积压严重,红,backlog_end,86.0,50,新增-关闭>50，积压上升
wjz304/Redpill_CustomBuild,2023-03,Issue积压严重,红,backlog_end,196.0,50,新增-关闭>50，积压上升
woocommerce/woocommerce,2023-03,Issue积压严重,红,backlog_end,52.0,50,新增-关闭>50，积压上升
xbmc/xbmc,2023-03,Issue积压上升,黄,backlog_end,18.0,10,新增>关闭，积压开始累积
yuzu-emu/yuzu,2023-03,Issue积压上升,黄,backlog_end,19.0,10,新增>关闭，积压开始累积
zephyrproject-rtos/zephyr,2023-03,Issue积压上升,黄,backlog_end,36.0,10,新增>关闭，积压开始累积
ziglang/zig,2023-03,Issue积压严重,红,backlog_end,85.0,50,新增-关闭>50，积压上升
